name_of_interviewer,district,age,gender,caste_ethnicity,occupation,any_health_problem,are_main_problems_addressed,biggest_prob,satisfied_with_gov,top_thing_gov,information_about_gov_support,a_Top_need_info,Satisfied_with_NGOs,a_Top_need_NGOs,is_support_fair,a_Top_reason_not_fair,prepared_for_winter,have_been_heard,relief_effort_progress,a_Top_problem_women,id,submission_time,index,Dage_1,Dage_2,Dage_3,Dage_4,Dage_5,Dage_6,Dgender_1,Dgender_2,age_15_40,age_40_and_above,age_not_avail,Doccupation_1,Doccupation_2,Doccupation_3,Doccupation_4,Doccupation_5,farmer_laborer,not_farmer_laborer,Dcaste_ethnicity_1,Dcaste_ethnicity_2,Dcaste_ethnicity_3,Dcaste_ethnicity_4,Dcaste_ethnicity_5,Dcaste_ethnicity_6,Dcaste_ethnicity_7,Dcaste_ethnicity_8,Dcaste_ethnicity_9,caste_Brah_Chhe,caste_New_Gur_Tam,caste_Janjati,caste_Dal_Mus_Other,Dany_health_problem_1,Dany_health_problem_2,Dany_health_problem_3,Dare_main_problems_addressed_1,Dare_main_problems_addressed_2,Dare_main_problems_addressed_3,Dare_main_problems_addressed_4,Dare_main_problems_addressed_5,Dare_main_problems_addressed_6,Dare_main_problems_addressed_7
"Dhirendra Dhamal","Makwanpur","25_39","male","Chhetri","skilled_worker","no_difficulty","1___not_at_all","housing_inspections","1___not_at_all","cash_for_work","1___not_at_all","news_about_government_decision","1___not_at_all","cash_for_work","1___not_at_all","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all",NA,723038,"2015-09-29T05:47:01",24,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Naban prajapati","Bhaktapur","25_39","female","Brahmin","ngo_worker_bus","no_difficulty","3___neutral","toilets_sanitation","3___neutral","housing_inspec","4___mostly_yes",NA,"4___mostly_yes",NA,"3___neutral","first_come__fi","3___neutral","4___mostly_yes","3___neutral","healthcare",723040,"2015-09-29T05:47:06",25,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Arjun Prasad Paudel","Rasuwa","55_greater","male","Tamang","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","2___very_little","cash_for_work","1___not_at_all","news_about_government_decision","4___mostly_yes",NA,"2___very_little","based_on_polit","4___mostly_yes","1___not_at_all","3___neutral",NA,723044,"2015-09-29T05:48:24",26,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Umesh thapa","Bhaktapur","15_24","male","Chhetri","other","no_difficulty","4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes","3___neutral","3___neutral",NA,723071,"2015-09-29T06:01:05",27,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Arjun Prasad Paudel","Rasuwa","25_39","male","Gurung","government_ser","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","cash_for_work","1___not_at_all","news_about_government_decision","2___very_little","cash_for_work","2___very_little","based_on_polit","4___mostly_yes","1___not_at_all","2___very_little",NA,723075,"2015-09-29T06:03:48",28,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Keshav Paudel","Kavrepalanchok","15_24","male","Chhetri","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","1___not_at_all","finding_missing_people","1___not_at_all","building_mater","1___not_at_all","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all",NA,723068,"2015-09-29T05:59:04",29,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Arjun Prasad Paudel","Rasuwa","40_54","male","Tamang","ngo_worker_bus","yes__some_diff","1___not_at_all","long_term_shelter__housing","2___very_little","cash_for_work","1___not_at_all","news_about_government_decision","2___very_little","cash_for_work","4___mostly_yes",NA,"2___very_little","1___not_at_all","4___mostly_yes",NA,723070,"2015-09-29T06:00:37",30,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Arjun Prasad Paudel","Rasuwa","25_39","male","other","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","1___not_at_all","news_about_government_decision","2___very_little","building_mater","2___very_little","based_on_caste","2___very_little","1___not_at_all","2___very_little",NA,723142,"2015-09-29T06:21:41",31,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"Dhamendra Dahal","Makwanpur","55_greater","male","Tamang","farmer_laborer","no_difficulty","1___not_at_all","housing_inspections","1___not_at_all","housing_inspec","2___very_little","how_to_register_for_access_sup","2___very_little","housing_inspec","1___not_at_all","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all",NA,723145,"2015-09-29T06:22:34",32,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Maheswor Subedi","Dhading","40_54","male","Janajati","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","housing_inspec","4___mostly_yes",NA,"1___not_at_all","building_mater","2___very_little","other","4___mostly_yes","1___not_at_all","2___very_little",NA,723147,"2015-09-29T06:23:51",33,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","female","Tamang","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","other","2___very_little","news_about_government_decision","3___neutral","other","3___neutral","based_on_dista","2___very_little","3___neutral","3___neutral","healthcare",723146,"2015-09-29T06:23:05",34,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Umesh Thapa","Bhaktapur","25_39","male","Chhetri","skilled_worker","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","how_to_get_shelter_materials","2___very_little","building_mater","2___very_little","first_come__fi","1___not_at_all","1___not_at_all","1___not_at_all",NA,723139,"2015-09-29T06:20:39",35,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","male","Tamang","farmer_laborer","no_difficulty","3___neutral","long_term_shelter__housing","2___very_little","other","2___very_little","news_about_government_decision","2___very_little","other","4___mostly_yes",NA,"2___very_little","2___not_very_m","3___neutral",NA,723137,"2015-09-29T06:20:22",36,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Maheswor Subedi","Dhading","15_24","male","Tamang","other","no_difficulty","2___very_little","long_term_shelter__housing","4___mostly_yes",NA,"5___completely_yes",NA,"2___very_little","building_mater","1___not_at_all","based_on_caste","4___mostly_yes","don_t_know","don_t_know",NA,723212,"2015-09-29T06:34:05",37,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","15_24","female","Chhetri","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","4___mostly_yes",NA,"2___very_little","other","2___very_little","other","2___very_little","based_on_polit","1___not_at_all","2___not_very_m","3___neutral","long_term_shelter__housing",723209,"2015-09-29T06:33:32",38,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Umesh thapa","Bhaktapur","25_39","female","Newar","ngo_worker_bus","no_difficulty","2___very_little","toilets_sanitation","3___neutral","housing_inspec","4___mostly_yes",NA,"2___very_little","housing_inspec","2___very_little","first_come__fi","3___neutral","1___not_at_all","1___not_at_all","toilets_sanitation",723213,"2015-09-29T06:34:40",39,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Santosh Gurung","Rasuwa","40_54","male","Gurung","other","no_difficulty","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","5___completely_yes",NA,723214,"2015-09-29T06:34:48",40,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Dhamendra Dahal","Makwanpur","25_39","male","Brahmin","skilled_worker","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","1___not_at_all","housing_inspec","1___not_at_all","based_on_polit","1___not_at_all","2___not_very_m","2___very_little",NA,723203,"2015-09-29T06:32:54",41,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Prakash Magarati","Sindhuli","40_54","female","Chhetri","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","3___neutral","building_mater","4___mostly_yes",NA,"1___not_at_all","building_mater","5___completely_yes",NA,"1___not_at_all","3___neutral","1___not_at_all","long_term_shelter__housing",723201,"2015-09-29T06:32:29",42,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Santosh Gurung","Rasuwa","55_greater","male","Gurung","other","no_difficulty","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","5___completely_yes",NA,723204,"2015-09-29T06:32:56",43,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Prakash Magarati","Sindhuli","55_greater","female","other","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","1___not_at_all","1___not_at_all","financial_support",723446,"2015-09-29T07:23:32",44,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"umesh thapa","Bhaktapur","40_54","male","Newar","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","2___very_little","how_to_register_for_access_sup","1___not_at_all","building_mater","2___very_little","first_come__fi","1___not_at_all","1___not_at_all","1___not_at_all",NA,723447,"2015-09-29T07:23:45",45,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Namin prajapati","Bhaktapur","40_54","male","Brahmin","skilled_worker","no_difficulty","4___mostly_yes",NA,"2___very_little","building_mater","2___very_little","how_to_register_for_access_sup","2___very_little","building_mater","3___neutral","first_come__fi","3___neutral","2___not_very_m","1___not_at_all",NA,723558,"2015-09-29T07:44:18",46,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Bidur Acharya","Sindhupalchowk","25_39","male","Newar","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","cash_for_work","5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","2___not_very_m","4___mostly_yes",NA,723559,"2015-09-29T07:44:24",47,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Sarita Dahal","Makwanpur","15_24","female","Janajati","farmer_laborer","no_difficulty","5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","building_mater","2___very_little","based_on_dista","2___very_little","1___not_at_all","4___mostly_yes",NA,723560,"2015-09-29T07:44:30",48,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"Nabaraj Shrestha","Ramechhap","25_39","male","Chhetri","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","1___not_at_all","cash_for_work","1___not_at_all","how_to_get_shelter_materials","4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","1___not_at_all","2___very_little",NA,723561,"2015-09-29T07:44:32",49,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"sarita sapkota","Kavrepalanchok","55_greater","male","Brahmin","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","1___not_at_all","how_to_get_shelter_materials","1___not_at_all","building_mater","1___not_at_all","based_on_polit","1___not_at_all","1___not_at_all","2___very_little",NA,723548,"2015-09-29T07:44:05",50,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Dev Bahadur B.K","Rasuwa","25_39","male","Tamang","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","4___mostly_yes",NA,723557,"2015-09-29T07:44:15",51,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Goma Khatri","Sindhupalchowk","25_39","female","Chhetri","farmer_laborer","yes__some_diff","1___not_at_all","healthcare","1___not_at_all","building_mater","5___completely_yes",NA,"2___very_little","building_mater","1___not_at_all","based_on_caste","1___not_at_all","1___not_at_all","1___not_at_all","long_term_shelter__housing",723575,"2015-09-29T07:45:43",52,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"sarita sapkota","Kavrepalanchok","55_greater","female","Brahmin","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","2___very_little","cash_for_work","1___not_at_all","how_to_get_healthcare_psycholo","3___neutral","building_mater","1___not_at_all","based_on_caste","1___not_at_all","1___not_at_all","don_t_know","toilets_sanitation",723586,"2015-09-29T07:46:10",53,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Dev Bahadur B.K","Rasuwa","40_54","female","Tamang","farmer_laborer","yes__a_lot_of_","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","5___completely_yes","long_term_shelter__housing",723587,"2015-09-29T07:46:20",54,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
